lat,long,restriction_score,neighbourhood group,host_type,id
40.75703,-73.91666,2,Queens,Professional,1796096
40.71227,-73.96776,1,Brooklyn,Individual,1801619
40.73337,-73.984,1,Manhattan,Individual,1803828
40.75743,-73.96939,1,Manhattan,Professional,1804933
40.71695,-73.99031,1,Manhattan,Individual,1809351
40.64573,-73.98013,3,Brooklyn,Individual,1811008
40.76287,-73.9957,2,Manhattan,Individual,1816531
40.70249,-73.9488,1,Brooklyn,Individual,1817083
40.71157,-73.9636,1,Brooklyn,Individual,1820949
40.64895,-73.95758,1,Brooklyn,Individual,1822606
40.67947,-73.98458,1,Brooklyn,Professional,1824263
40.62764,-73.90086,1,Brooklyn,Professional,1828129
40.73456,-74.00347,5,Manhattan,Individual,1829234
40.77987,-73.91565,2,Queens,Individual,1830891
40.77329,-73.92832,2,Queens,Individual,1831443
40.70866,-73.91537,1,Queens,Professional,1832548
40.80829,-73.9426,2,Manhattan,Professional,1833100
40.62879,-74.16062,3,Staten Island,Individual,1834204
40.74888,-73.97828,2,Manhattan,Professional,1838071
40.80373,-73.9679,3,Manhattan,Individual,1841384
40.68305,-73.97853,1,Brooklyn,Individual,1845250
40.69096,-73.97241,2,Brooklyn,Individual,1848564
40.67406,-73.97697,1,Brooklyn,Individual,1850221
40.74034,-74.00259,1,Manhattan,Professional,1854087
40.70995,-73.95536,1,Brooklyn,Professional,1856296
40.67507,-73.98093,2,Brooklyn,Individual,1859058
40.79507,-73.97568,1,Manhattan,Professional,1859610
40.72582,-73.95213,1,Brooklyn,Individual,1866790
40.73016,-73.98643,2,Manhattan,Individual,1867895
40.71534,-73.94906,1,Brooklyn,Individual,1870104
40.74746,-73.89712,1,Queens,Professional,1870656
40.74687,-73.89892,1,Queens,Professional,1871209
40.71055,-73.94915,1,Brooklyn,Professional,1872865
40.68811,-73.97236,1,Brooklyn,Individual,1873970
40.72576,-73.98582,1,Manhattan,Individual,1877836
40.82398,-73.954,1,Manhattan,Individual,1878941
40.68724,-73.95837,1,Brooklyn,Professional,1879493
40.74056,-73.99262,1,Manhattan,Individual,1882255
40.66983,-73.94322,2,Brooklyn,Professional,1882807
40.67942,-73.96248,2,Brooklyn,Individual,1883359
40.70866,-73.95166,2,Brooklyn,Professional,1886121
40.70061,-73.9552,1,Brooklyn,Professional,1887225
40.80517,-73.95404,2,Manhattan,Individual,1888330
40.74092,-74.00037,3,Manhattan,Individual,1892196
40.75154,-73.97104,1,Manhattan,Individual,1893301
40.72369,-73.9894,1,Manhattan,Individual,1894957
40.7232,-73.97927,1,Manhattan,Professional,1896062
40.71778,-74.00452,1,Manhattan,Individual,1900480
40.7296,-73.98479,1,Manhattan,Individual,1901033
40.71729,-74.00424,4,Manhattan,Individual,1902690
40.85963,-73.93107,1,Manhattan,Individual,1903242
40.7229,-73.99574,1,Manhattan,Individual,1903794
40.6258,-73.90004,1,Brooklyn,Professional,1905451
40.72064,-73.99605,1,Manhattan,Individual,1906003
40.76412,-73.97666,1,Manhattan,Individual,1907108
40.76372,-73.79201,1,Queens,Individual,1912631
40.68391,-73.96201,1,Brooklyn,Individual,1913183
40.77938,-73.98247,5,Manhattan,Professional,1913736
40.7189,-73.95725,1,Brooklyn,Individual,1914288
40.72863,-74.00137,1,Manhattan,Individual,1916497
40.67958,-73.93687,1,Brooklyn,Individual,1919811
40.80193,-73.96703,2,Manhattan,Individual,1920363
40.68522,-73.93557,1,Brooklyn,Professional,1920916
40.68785,-73.96708,3,Brooklyn,Individual,1924782
40.68468,-73.96303,1,Brooklyn,Individual,1925886
40.70022,-73.93032,1,Brooklyn,Professional,1928648
40.78227,-73.9841,1,Manhattan,Professional,1929200
